timestamp,place_id,distance_cm,est_anomalie
2026-04-18T10:28:31.766+00:00,1,6.17,0
2026-04-18T10:28:31.766+00:00,2,1.8,0
2026-04-18T10:28:31.766+00:00,3,7.33,0
2026-04-18T10:28:31.766+00:00,4,7.13,0
2026-04-18T10:28:31.766+00:00,5,6.25,0
2026-04-18T10:28:31.766+00:00,6,6.39,0
2026-04-18T10:28:31.766+00:00,7,7.26,0
2026-04-18T10:28:31.766+00:00,8,1.74,0
2026-04-18T10:28:33.767+00:00,1,5.96,0
2026-04-18T10:28:33.767+00:00,2,1.8,0
2026-04-18T10:28:33.767+00:00,3,7.38,0
2026-04-18T10:28:33.767+00:00,4,7.05,0
2026-04-18T10:28:33.767+00:00,5,6.13,0
2026-04-18T10:28:33.767+00:00,6,6.28,0
2026-04-18T10:28:33.767+00:00,7,6.95,0
2026-04-18T10:28:33.767+00:00,8,1.79,0
2026-04-18T10:28:35.783+00:00,1,6.15,0
2026-04-18T10:28:35.783+00:00,2,1.89,0
2026-04-18T10:28:35.783+00:00,3,7.36,0
2026-04-18T10:28:35.783+00:00,4,7.02,0
2026-04-18T10:28:35.783+00:00,5,6.01,0
2026-04-18T10:28:35.783+00:00,6,6.48,0
2026-04-18T10:28:35.783+00:00,7,6.92,0
2026-04-18T10:28:35.783+00:00,8,1.84,0
2026-04-18T10:28:37.786+00:00,1,6.38,0
2026-04-18T10:28:37.786+00:00,2,1.92,0
2026-04-18T10:28:37.786+00:00,3,7.62,0
2026-04-18T10:28:37.786+00:00,4,7.18,0
2026-04-18T10:28:37.786+00:00,5,5.86,0
2026-04-18T10:28:37.786+00:00,6,6.31,0
2026-04-18T10:28:37.786+00:00,7,7.25,0
2026-04-18T10:28:37.786+00:00,8,1.78,0
2026-04-18T10:28:39.790+00:00,1,6.38,0
2026-04-18T10:28:39.790+00:00,2,1.8,0
2026-04-18T10:28:39.790+00:00,3,7.34,0
2026-04-18T10:28:39.790+00:00,4,7.15,0
2026-04-18T10:28:39.790+00:00,5,6.13,0
2026-04-18T10:28:39.790+00:00,6,6.48,0
2026-04-18T10:28:39.790+00:00,7,6.95,0
2026-04-18T10:28:39.790+00:00,8,1.78,0
2026-04-18T10:28:41.793+00:00,1,6.38,0
2026-04-18T10:28:41.793+00:00,2,1.78,0
2026-04-18T10:28:41.793+00:00,3,7.46,0
2026-04-18T10:28:41.793+00:00,4,7.35,0
2026-04-18T10:28:41.793+00:00,5,6.12,0
2026-04-18T10:28:41.793+00:00,6,6.46,0
2026-04-18T10:28:41.793+00:00,7,7.31,0
2026-04-18T10:28:41.793+00:00,8,1.88,0
2026-04-18T10:28:43.797+00:00,1,6.38,0
2026-04-18T10:28:43.797+00:00,2,1.94,0
2026-04-18T10:28:43.797+00:00,3,7.61,0
2026-04-18T10:28:43.797+00:00,4,7.24,0
2026-04-18T10:28:43.797+00:00,5,6.05,0
2026-04-18T10:28:43.797+00:00,6,6.63,0
2026-04-18T10:28:43.797+00:00,7,7.31,0
2026-04-18T10:28:43.797+00:00,8,1.89,0
2026-04-18T10:28:45.799+00:00,1,6.38,0
2026-04-18T10:28:45.799+00:00,2,1.83,0
